Partition      Tasks  Nodes      Duration   StartOffset       StartDate  Geometry
---------     ------  -----  ------------  ------------  --------------  --------
ALL             3520    220       6:36:48      00:00:00  10:21:40_11/04  7x2x8
ALL             3520    220       9:18:58      00:00:00  10:21:40_11/04  7x2x8
ALL             1216     76       9:28:58      00:00:00  10:21:40_11/04  5x2x4
ALL             1216     76       9:41:19      00:00:00  10:21:40_11/04  5x2x4
ALL             1216     76      10:09:58      00:00:00  10:21:40_11/04  5x2x4
ALL             1024     64      INFINITY      00:00:00  10:21:40_11/04  2x2x8
nid11293        3520    220       6:36:48      00:00:00  10:21:40_11/04  7x2x8
nid11293        3520    220       9:18:58      00:00:00  10:21:40_11/04  7x2x8
nid11293        1216     76       9:28:58      00:00:00  10:21:40_11/04  5x2x4
nid11293        1216     76       9:41:19      00:00:00  10:21:40_11/04  5x2x4
nid11293        1216     76      10:09:58      00:00:00  10:21:40_11/04  5x2x4
nid11293        1024     64      INFINITY      00:00:00  10:21:40_11/04  2x2x8
